url_path,views_total,views_unique
/cicsdev/cics-java-jcics-samples/blob/main/blog/blog.md,51,18
/cicsdev/cics-java-jcics-samples/blob/main/projects/com.ibm.cicsdev.link/src/com/ibm/cicsdev/link/LinkProg1.java,23,8
/cicsdev/cics-java-jcics-samples,22,19
/cicsdev/cics-java-jcics-samples/tree/main/projects/com.ibm.cicsdev.link,15,5
/cicsdev/cics-java-jcics-samples/tree/main/projects,14,5
/cicsdev/cics-java-jcics-samples/tree/main/src/Cobol,14,3
/cicsdev/cics-java-jcics-samples/tree/main/src,13,4
/cicsdev/cics-java-jcics-samples/blob/main/projects/com.ibm.cicsdev.link/src/com/ibm/cicsdev/link/LinkProg2.java,8,3
/cicsdev/cics-java-jcics-samples/tree/main/projects/com.ibm.cicsdev.link/src/com/ibm/cicsdev/link,7,3
/cicsdev/cics-java-jcics-samples/tree/main/etc,7,2
