time_iso8601,clones_total,clones_unique,views_total,views_unique
2024-06-10 00:00:00+00:00,6,1,4.0,3.0
2024-06-11 00:00:00+00:00,6,1,,
2024-06-12 00:00:00+00:00,6,1,8.0,2.0
2024-06-13 00:00:00+00:00,7,2,2.0,2.0
2024-06-14 00:00:00+00:00,7,2,5.0,1.0
2024-06-15 00:00:00+00:00,6,1,,
2024-06-16 00:00:00+00:00,6,1,53.0,1.0
2024-06-17 00:00:00+00:00,6,1,7.0,4.0
2024-06-18 00:00:00+00:00,7,2,2.0,1.0
2024-06-19 00:00:00+00:00,6,1,2.0,1.0
2024-06-20 00:00:00+00:00,6,1,,
2024-06-21 00:00:00+00:00,6,1,,
2024-06-22 00:00:00+00:00,6,1,,
2024-06-23 00:00:00+00:00,6,1,,
