url_path,views_total,views_unique
/cicsdev/cics-java-liberty-link,12,12
/cicsdev/cics-java-liberty-link/tree/main/cics-java-liberty-link-app,7,2
/cicsdev/cics-java-liberty-link/tree/main/etc/eclipse_projects/com.ibm.cics.server.examples.wlp.link.bundle,7,2
/cicsdev/cics-java-liberty-link/blob/main/projects/com.ibm.cics.server.examples.wlp.link/src/com/ibm/cics/server/examples/wlp/link/HelloLiberty.java,6,3
/cicsdev/cics-java-liberty-link/tree/main/cics-java-liberty-link-app/src/main,5,2
/cicsdev/cics-java-liberty-link/tree/main/cics-java-liberty-link-app/src/main/java/com/ibm/cics/server/examples/wlp/link,5,2
/cicsdev/cics-java-liberty-link/blob/main/cics-java-liberty-link-app/src/main/java/com/ibm/cics/server/examples/wlp/link/HelloLiberty.java,4,2
/cicsdev/cics-java-liberty-link/tree/main/cics-java-liberty-link-bundle,4,1
/cicsdev/cics-java-liberty-link/tree/main/cics-java-liberty-link-bundle/src/main/bundleParts,3,1
/cicsdev/cics-java-liberty-link/tree/main/etc,3,1
