url_path,views_total,views_unique
/cicsdev/cicstg-jca-liberty-sample/blob/main/libertyJCA.war,12,2
/cicsdev/cicstg-jca-liberty-sample/blob/main/readme.md,11,2
/cicsdev/cicstg-jca-liberty-sample/blob/main/WEB-INF/web.xml,9,2
/cicsdev/cicstg-jca-liberty-sample/blob/main/com/ibm/ctg/samples/liberty/JCAServlet.java,6,3
/cicsdev/cicstg-jca-liberty-sample/tree/main/com/ibm/ctg/samples/liberty,6,2
/cicsdev/cicstg-jca-liberty-sample/blob/main/server.xml,5,1
/cicsdev/cicstg-jca-liberty-sample,2,2
/cicsdev/cicstg-jca-liberty-sample/tree/main,2,2
/cicsdev/cicstg-jca-liberty-sample/blame/main/libertyJCA.war,2,1
/cicsdev/cicstg-jca-liberty-sample/tree/main/com,2,1
