url_path,views_total,views_unique
/cicsdev/cicstg-jca-liberty-sample/blob/main/libertyJCA.war,55,16
/cicsdev/cicstg-jca-liberty-sample/blob/main/com/ibm/ctg/samples/liberty/JCAServlet.java,33,11
/cicsdev/cicstg-jca-liberty-sample/tree/main/com/ibm/ctg/samples/liberty,30,10
/cicsdev/cicstg-jca-liberty-sample/blob/main/server.xml,20,8
/cicsdev/cicstg-jca-liberty-sample/blob/main/WEB-INF/web.xml,16,7
/cicsdev/cicstg-jca-liberty-sample/tree/main/WEB-INF,16,6
/cicsdev/cicstg-jca-liberty-sample/blob/main/readme.md,15,4
/cicsdev/cicstg-jca-liberty-sample,12,10
/cicsdev/cicstg-jca-liberty-sample/blame/main/libertyJCA.war,8,1
/cicsdev/cicstg-jca-liberty-sample/tree/main/com,7,4
